date,consignee,consignee_country,shipper,shipper_country,shipment_origin,shipment_destination,port_of_lading,port_of_lading_country,port_of_unlading_country,transport_method,goods_shipped,parcel_size_mt,weight,parcel_bin_2
2020-07-22T00:00:00Z,"Trafigura Pte., Ltd.",Singapore,Consorcio Minero De Mexico Cormin Mex Sa De Cv,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,Singapore,Maritime,CONCENTRADO DE ZINC,<4000t,3291.27,2500 - 5000
2020-07-21T00:00:00Z,"Dowa Metals & Mining Co., Ltd.",Japan,Minera Tizapa Sa De Cv,Mexico,Mexico,Japan,Manzanillo (MX),Mexico,Japan,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,5562.7,5000 - 7500
2020-07-13T00:00:00Z,Youngpoong Corporation,South Korea,Z Inc. International S.A.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,<4000t,506.7,0 - 2500
2020-07-10T00:00:00Z,"Trafigura Pte., Ltd.",Singapore,Metalurgica Met Mex PeÑoles S.A. De C.V.,Mexico,Mexico,Switzerland,Manzanillo (MX),Mexico,Singapore,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,5867,5000 - 7500
2020-07-08T00:00:00Z,"Qingdao Explore International Trade Co., Ltd.",NA,Asia Global Renewabe Resourses Sa,Mexico,Mexico,China,Manzanillo (MX),Mexico,China,Maritime,CONCENTRADO SUCIO DE ZINC,<4000t,63.68,0 - 2500
2020-06-30T00:00:00Z,Youngpoong Corporation,South Korea,Z Inc. International S.A.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,<4000t,507.3,0 - 2500
2020-06-26T00:00:00Z,Teck Metals Ltd.,Canada,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,Canada,Manzanillo (MX),Mexico,Canada,Maritime,CONCENTRADO DE ZINC,>7000t,11000,10000 - 12500
2020-06-23T00:00:00Z,Glencore International Ag,Switzerland,Metalurgica Met Mex PeÑoles S.A. De C.V.,Mexico,Mexico,Spain,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,>7000t,11045,10000 - 12500
2020-06-23T00:00:00Z,Nyrstar Sales & Marketing Ag,Switzerland,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,Switzerland,Manzanillo (MX),Mexico,Belgium,Maritime,CONCENTRADO DE CINC,>7000t,11000.76,10000 - 12500
2020-06-18T00:00:00Z,"Korea Z Inc. Co., Ltd.",South Korea,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,>7000t,11001.5,10000 - 12500
2020-06-15T00:00:00Z,"Trafigura Pte., Ltd.",Singapore,Minera Hecla Sa De Cv,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,Singapore,Maritime,CONCENTRADO DE ZINC,<4000t,21.58,0 - 2500
2020-06-15T00:00:00Z,"Trafigura Pte., Ltd.",Singapore,Consorcio Minero De Mexico Cormin Mex Sa De Cv,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,Singapore,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,5252.726,5000 - 7500
2020-06-13T00:00:00Z,"Dowa Metals & Mining Co., Ltd.",Japan,Minera Tizapa Sa De Cv,Mexico,Mexico,Japan,Manzanillo (MX),Mexico,Japan,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,5494.89,5000 - 7500
2020-06-04T00:00:00Z,Transamine Trading S.A,Switzerland,Transamine Trading De Mexico Sa De Cv,Mexico,Mexico,Switzerland,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,<4000t,801.41,0 - 2500
